Sample_ID_fq	Sample_ID	Well	Column	Row_num	Plate	Compound	Concentration	Solvent	Individual
Plate1A1_R1	Plate1A1	A1	1	8	1	Acarbose	25	DMSO	No
Plate1B1_R1	Plate1B1	B1	1	7	1	Acarbose	25	DMSO	No
Plate1C1_R1	Plate1C1	C1	1	6	1	Acarbose	25	DMSO	No
Plate1D1_R1	Plate1D1	D1	1	5	1	Acarbose	25	DMSO	No
Plate1E1_R1	Plate1E1	E1	1	4	1	Acarbose	50	DMSO	No
Plate1F1_R1	Plate1F1	F1	1	3	1	Acarbose	50	DMSO	No
Plate1G1_R1	Plate1G1	G1	1	2	1	Acarbose	50	DMSO	No
Plate1H1_R1	Plate1H1	H1	1	1	1	Acarbose	50	DMSO	No
Plate1A2_R1	Plate1A2	A2	2	8	1	Acesulfame_K	25	DMSO	No
Plate1B2_R1	Plate1B2	B2	2	7	1	Acesulfame_K	25	DMSO	No
Plate1C2_R1	Plate1C2	C2	2	6	1	Acesulfame_K	25	DMSO	No
Plate1D2_R1	Plate1D2	D2	2	5	1	Acesulfame_K	25	DMSO	No
Plate1E2_R1	Plate1E2	E2	2	4	1	Acesulfame_K	50	DMSO	No
Plate1F2_R1	Plate1F2	F2	2	3	1	Acesulfame_K	50	DMSO	No
Plate1G2_R1	Plate1G2	G2	2	2	1	Acesulfame_K	50	DMSO	No
Plate1H2_R1	Plate1H2	H2	2	1	1	Acesulfame_K	50	DMSO	No
Plate1A3_R1	Plate1A3	A3	3	8	1	Acetaminophen	25	DMSO	No
Plate1B3_R1	Plate1B3	B3	3	7	1	Acetaminophen	25	DMSO	No
Plate1C3_R1	Plate1C3	C3	3	6	1	Acetaminophen	25	DMSO	No
Plate1D3_R1	Plate1D3	D3	3	5	1	Acetaminophen	25	DMSO	No
Plate1E3_R1	Plate1E3	E3	3	4	1	Acetaminophen	50	DMSO	No
Plate1F3_R1	Plate1F3	F3	3	3	1	Acetaminophen	50	DMSO	No
Plate1G3_R1	Plate1G3	G3	3	2	1	Acetaminophen	50	DMSO	No
Plate1H3_R1	Plate1H3	H3	3	1	1	Acetaminophen	50	DMSO	No
Plate1A4_R1	Plate1A4	A4	4	8	1	Aripiprazole	25	DMSO	No
Plate1B4_R1	Plate1B4	B4	4	7	1	Aripiprazole	25	DMSO	No
Plate1C4_R1	Plate1C4	C4	4	6	1	Aripiprazole	25	DMSO	No
Plate1D4_R1	Plate1D4	D4	4	5	1	Aripiprazole	25	DMSO	No
Plate1E4_R1	Plate1E4	E4	4	4	1	Aripiprazole	50	DMSO	No
Plate1F4_R1	Plate1F4	F4	4	3	1	Aripiprazole	50	DMSO	No
Plate1G4_R1	Plate1G4	G4	4	2	1	Aripiprazole	50	DMSO	No
Plate1H4_R1	Plate1H4	H4	4	1	1	Aripiprazole	50	DMSO	No
Plate1A5_R1	Plate1A5	A5	5	8	1	Aspartame	25	DMSO	No
Plate1B5_R1	Plate1B5	B5	5	7	1	Aspartame	25	DMSO	No
Plate1C5_R1	Plate1C5	C5	5	6	1	Aspartame	25	DMSO	No
Plate1D5_R1	Plate1D5	D5	5	5	1	Aspartame	25	DMSO	No
Plate1E5_R1	Plate1E5	E5	5	4	1	Aspartame	50	DMSO	No
Plate1F5_R1	Plate1F5	F5	5	3	1	Aspartame	50	DMSO	No
Plate1G5_R1	Plate1G5	G5	5	2	1	Aspartame	50	DMSO	No
Plate1H5_R1	Plate1H5	H5	5	1	1	Aspartame	50	DMSO	No
Plate1A6_R1	Plate1A6	A6	6	8	1	Aspirin	25	DMSO	No
Plate1B6_R1	Plate1B6	B6	6	7	1	Aspirin	25	DMSO	No
Plate1C6_R1	Plate1C6	C6	6	6	1	Aspirin	25	DMSO	No
Plate1D6_R1	Plate1D6	D6	6	5	1	Aspirin	25	DMSO	No
Plate1E6_R1	Plate1E6	E6	6	4	1	Aspirin	50	DMSO	No
Plate1F6_R1	Plate1F6	F6	6	3	1	Aspirin	50	DMSO	No
Plate1G6_R1	Plate1G6	G6	6	2	1	Aspirin	50	DMSO	No
Plate1H6_R1	Plate1H6	H6	6	1	1	Aspirin	50	DMSO	No
Plate1A7_R1	Plate1A7	A7	7	8	1	Caffeine	25	DMSO	No
Plate1B7_R1	Plate1B7	B7	7	7	1	Caffeine	25	DMSO	No
Plate1C7_R1	Plate1C7	C7	7	6	1	Caffeine	25	DMSO	No
Plate1D7_R1	Plate1D7	D7	7	5	1	Caffeine	25	DMSO	No
Plate1E7_R1	Plate1E7	E7	7	4	1	Caffeine	50	DMSO	No
Plate1F7_R1	Plate1F7	F7	7	3	1	Caffeine	50	DMSO	No
Plate1G7_R1	Plate1G7	G7	7	2	1	Caffeine	50	DMSO	No
Plate1H7_R1	Plate1H7	H7	7	1	1	Caffeine	50	DMSO	No
Plate1A8_R1	Plate1A8	A8	8	8	1	Chlorpyrifos	25	DMSO	No
Plate1B8_R1	Plate1B8	B8	8	7	1	Chlorpyrifos	25	DMSO	No
Plate1C8_R1	Plate1C8	C8	8	6	1	Chlorpyrifos	25	DMSO	No
Plate1D8_R1	Plate1D8	D8	8	5	1	Chlorpyrifos	25	DMSO	No
Plate1E8_R1	Plate1E8	E8	8	4	1	Chlorpyrifos	50	DMSO	No
Plate1F8_R1	Plate1F8	F8	8	3	1	Chlorpyrifos	50	DMSO	No
